#Down SWR Down LWR Precipit  Air Tem  Windspe Pressure Spec Hum
#W m-2 W m-2 Kg m-2 s-1 K m s-1 Pa kg kg
 440.4 273.0 0.00E+00 285.80  5.65  97490 0.00464
 474.9 285.1 0.00E+00 289.21  6.04  97330 0.00435
 444.9 293.2 0.00E+00 291.09  6.88  97180 0.00418
 358.3 291.3 0.00E+00 291.84  6.54  97090 0.00418
 236.6 291.0 0.00E+00 291.86  5.79  97040 0.00399
  80.2 288.3 0.00E+00 290.03  4.31  97020 0.00395
   1.9 282.7 0.00E+00 285.90  3.19  97000 0.00380
   0.0 274.9 0.00E+00 283.08  2.46  96990 0.00381
   0.0 271.4 0.00E+00 281.35  2.95  96940 0.00381
   0.0 271.0 0.00E+00 280.74  2.89  96900 0.00379
   0.0 268.2 0.00E+00 279.83  2.28  96870 0.00371
   0.0 265.7 0.00E+00 275.64  1.21  96850 0.00329
   0.0 256.4 0.00E+00 273.59  1.10  96830 0.00313
   0.0 254.1 0.00E+00 273.24  1.11  96770 0.00314
   0.0 253.2 0.00E+00 271.95  1.11  96720 0.00297
   0.0 253.9 0.00E+00 272.74  1.45  96670 0.00303
   0.0 253.4 0.00E+00 272.50  1.37  96630 0.00299
   0.0 250.8 0.00E+00 273.24  0.94  96550 0.00302
   0.0 249.9 0.00E+00 271.13  1.67  96460 0.00283
   0.0 248.6 0.00E+00 273.00  1.76  96390 0.00286
   0.9 248.7 0.00E+00 273.27  2.25  96330 0.00287
  63.0 245.1 0.00E+00 273.02  0.75  96280 0.00287
 221.1 248.2 0.00E+00 278.94  2.41  96250 0.00344
 365.2 257.1 0.00E+00 283.80  5.41  96230 0.00326
 460.7 269.8 0.00E+00 288.53  6.57  96140 0.00304
 497.1 274.2 0.00E+00 291.13  6.42  96050 0.00301
 465.8 283.6 0.00E+00 293.06  6.48  95970 0.00307
 380.1 282.4 0.00E+00 293.82  7.41  95940 0.00270
 247.6 278.2 0.00E+00 292.47  8.08  96000 0.00267
  88.0 269.0 0.00E+00 288.91  5.35  96080 0.00281
   1.7 261.3 0.00E+00 284.14  3.57  96150 0.00268
   0.0 255.7 0.00E+00 280.55  2.83  96230 0.00261
   0.0 252.3 0.00E+00 277.53  2.20  96280 0.00254
   0.0 247.5 0.00E+00 275.68  1.82  96340 0.00255
   0.0 247.2 0.00E+00 275.67  2.91  96400 0.00254
   0.0 241.1 0.00E+00 274.01  3.00  96420 0.00241
   0.0 239.7 0.00E+00 273.00  3.21  96420 0.00227
   0.0 238.7 0.00E+00 273.21  2.51  96430 0.00228
   0.0 234.3 0.00E+00 272.66  1.82  96480 0.00230
   0.4 234.6 0.00E+00 273.79  3.37  96530 0.00229
   0.0 233.3 0.00E+00 275.07  4.44  96540 0.00223
   0.0 229.2 0.00E+00 274.25  4.64  96570 0.00219
   0.0 229.1 0.00E+00 272.85  4.82  96620 0.00216
   0.0 228.5 0.00E+00 272.46  5.34  96720 0.00224
   0.0 227.1 0.00E+00 271.77  4.66  96860 0.00232
  77.8 221.2 0.00E+00 273.78  8.17  96930 0.00205
 231.1 221.8 0.00E+00 275.16 10.66  97010 0.00183
 362.4 221.9 0.00E+00 275.91 12.20  97070 0.00175
 457.7 222.5 0.00E+00 276.46 12.66  97080 0.00165
 497.6 223.3 0.00E+00 276.80 11.63  97030 0.00162
 468.1 224.1 0.00E+00 276.80 11.89  97000 0.00179
 380.9 224.2 0.00E+00 276.64 10.83  97020 0.00189
 255.1 225.3 0.00E+00 275.53 10.84  97110 0.00193
 103.9 249.7 0.00E+00 274.47 10.07  97170 0.00194
   3.0 256.5 0.00E+00 273.16  8.77  97230 0.00191
   0.0 275.0 0.00E+00 272.82  8.06  97280 0.00204
   0.0 279.9 0.00E+00 272.45  7.18  97330 0.00213
   0.0 278.8 0.00E+00 271.97  7.61  97370 0.00221
   0.0 277.2 0.00E+00 271.41  9.33  97380 0.00211
   0.0 276.0 0.00E+00 270.78  7.32  97440 0.00204
   0.0 273.2 0.00E+00 270.49  7.67  97450 0.00194
   0.0 267.2 0.00E+00 270.09  7.40  97440 0.00187
   0.0 249.1 0.00E+00 269.12  9.88  97450 0.00168
   0.0 206.6 0.00E+00 268.00  9.34  97510 0.00159
   0.0 198.0 0.00E+00 267.13  7.66  97540 0.00155
   0.0 219.3 0.00E+00 266.71  8.54  97600 0.00150
   0.0 208.4 0.00E+00 265.47  7.58  97680 0.00142
   0.0 203.1 0.00E+00 265.43  6.79  97770 0.00144
   0.4 183.4 0.00E+00 264.58  6.27  97810 0.00138
  85.5 179.6 0.00E+00 265.21  8.38  97860 0.00134
 243.8 181.2 0.00E+00 265.95  8.93  97930 0.00123
 379.0 184.7 0.00E+00 266.74  9.44  97990 0.00109
 469.5 190.1 0.00E+00 268.06  7.72  97980 0.00105
 506.9 194.6 0.00E+00 269.27  6.96  97910 0.00101
 479.1 198.1 0.00E+00 270.15  6.91  97850 0.00104
 393.1 198.3 0.00E+00 270.80  7.34  97820 0.00101
 260.4 198.8 0.00E+00 270.84  7.18  97830 0.00098
  67.2 196.0 0.00E+00 269.80  6.08  97840 0.00103
   0.0 195.9 0.00E+00 267.34  3.19  97870 0.00107
   0.0 195.4 0.00E+00 265.53  2.01  97930 0.00104
   0.0 190.5 0.00E+00 263.71  1.72  97980 0.00101
   0.0 190.6 0.00E+00 262.04  1.63  98010 0.00099
   0.0 190.4 0.00E+00 262.57  1.99  98000 0.00100
   0.0 186.9 0.00E+00 260.51  1.37  98020 0.00095
   0.0 184.7 0.00E+00 259.91  1.14  98060 0.00096
   0.0 186.4 0.00E+00 259.87  0.88  98040 0.00098
   0.0 186.3 0.00E+00 258.61  0.57  98030 0.00096
   0.0 186.5 0.00E+00 258.66  0.74  98050 0.00095
   0.0 183.8 0.00E+00 257.56  0.67  98030 0.00092
   0.0 181.5 0.00E+00 256.68  1.00  98030 0.00086
   0.0 180.6 0.00E+00 256.89  0.45  98020 0.00092
   0.0 179.6 0.00E+00 256.55  0.97  98040 0.00090
   2.8 183.6 0.00E+00 256.45  0.61  98040 0.00093
  84.0 185.3 0.00E+00 258.85  1.17  98020 0.00104
 234.7 190.5 0.00E+00 263.81  2.15  98030 0.00128
 371.6 195.1 0.00E+00 268.55  3.63  98060 0.00142
 467.2 203.0 0.00E+00 271.57  3.93  98040 0.00134
 505.4 206.6 0.00E+00 272.73  4.64  98010 0.00127
 478.2 206.2 0.00E+00 273.15  4.24  97990 0.00128
 394.5 202.1 0.00E+00 273.13  4.38  97960 0.00126
 228.6 201.3 0.00E+00 272.60  4.28  98000 0.00123
  48.8 202.3 0.00E+00 270.80  3.52  98040 0.00127
   0.0 201.6 0.00E+00 268.45  2.27  98080 0.00125
   0.0 198.0 0.00E+00 266.37  2.54  98170 0.00126
   0.0 198.9 0.00E+00 264.81  2.01  98250 0.00127
   0.0 198.6 0.00E+00 263.99  1.65  98270 0.00121
   0.0 192.9 0.00E+00 261.31  1.83  98290 0.00107
   0.0 196.7 0.00E+00 259.24  1.43  98330 0.00099
   0.0 192.9 0.00E+00 258.71  1.17  98330 0.00098
   0.0 187.6 0.00E+00 258.58  0.85  98270 0.00098
   0.0 201.5 0.00E+00 258.21  0.84  98240 0.00098
   0.0 199.5 0.00E+00 258.52  0.78  98190 0.00101
   0.0 196.3 0.00E+00 258.06  1.20  98100 0.00102
   0.0 203.4 0.00E+00 258.02  0.67  98030 0.00104
   0.0 200.2 0.00E+00 258.15  0.71  97980 0.00105
   0.0 197.6 0.00E+00 258.76  1.33  97920 0.00105
   0.8 196.0 0.00E+00 258.34  1.06  97860 0.00104
  77.5 199.4 0.00E+00 261.54  2.32  97780 0.00128
 234.9 205.1 0.00E+00 266.90  3.11  97700 0.00169
 367.3 217.3 0.00E+00 272.93  6.63  97640 0.00206
 458.8 228.6 0.00E+00 276.56  7.34  97530 0.00232
 489.6 241.6 0.00E+00 279.46  8.43  97410 0.00260
 462.9 247.3 0.00E+00 280.78  7.97  97300 0.00265
 378.5 251.8 0.00E+00 282.20  8.14  97180 0.00280
 240.3 254.4 0.00E+00 282.46  6.85  97190 0.00302
  90.9 251.6 0.00E+00 282.06  4.58  97210 0.00309
   2.7 249.8 0.00E+00 279.68  2.44  97240 0.00305
   0.0 245.3 0.00E+00 276.31  2.05  97300 0.00287
   0.0 241.5 0.00E+00 274.04  1.86  97420 0.00273
   0.0 231.1 0.00E+00 274.71  3.77  97540 0.00229
   0.0 224.4 0.00E+00 273.04  4.08  97610 0.00212
   0.0 222.5 0.00E+00 270.79  4.63  97700 0.00193
   0.0 222.6 0.00E+00 269.23  3.92  97710 0.00182
   0.0 226.6 0.00E+00 267.04  2.45  97740 0.00174
   0.0 220.7 0.00E+00 266.66  3.31  97740 0.00172
   0.0 215.7 0.00E+00 265.43  3.41  97820 0.00149
   0.0 235.3 0.00E+00 264.45  2.65  97840 0.00136
   0.0 225.7 0.00E+00 264.20  2.59  97880 0.00128
   0.0 233.8 0.00E+00 263.48  2.71  97860 0.00124
   0.0 235.7 0.00E+00 263.71  2.56  97830 0.00119
   1.3 211.3 0.00E+00 262.94  1.81  97850 0.00114
  92.6 214.0 0.00E+00 263.88  1.69  97820 0.00120
 180.1 234.0 0.00E+00 265.87  2.36  97830 0.00111
 189.8 255.0 0.00E+00 266.77  2.17  97880 0.00103
 243.9 254.2 0.00E+00 267.70  2.21  97810 0.00103
 318.8 240.6 0.00E+00 268.77  1.98  97690 0.00103
 518.1 244.9 0.00E+00 270.65  3.29  97470 0.00108
 342.6 243.0 0.00E+00 271.81  2.88  97430 0.00112
 125.5 277.8 0.00E+00 272.18  2.47  97400 0.00117
  46.0 266.8 0.00E+00 272.03  1.85  97430 0.00119
   0.0 251.7 0.00E+00 270.44  1.81  97440 0.00119
   0.0 257.2 0.00E+00 269.24  0.79  97460 0.00122
   0.5 270.1 0.00E+00 269.43  1.82  97550 0.00127
   0.0 279.2 0.00E+00 269.94  1.75  97600 0.00131
   0.0 268.3 0.00E+00 269.89  1.72  97680 0.00132
   0.0 248.4 0.00E+00 269.26  2.39  97790 0.00132
   0.0 229.9 0.00E+00 267.72  2.94  97930 0.00122
   0.0 243.3 0.00E+00 267.17  4.26  98000 0.00119
   0.0 221.2 0.00E+00 266.25  4.75  98110 0.00112
   0.0 231.9 0.00E+00 265.81  4.76  98250 0.00108
   0.0 196.9 0.00E+00 264.94  5.59  98320 0.00109
   0.0 189.9 0.00E+00 263.88  4.68  98370 0.00113
   0.0 189.7 0.00E+00 263.20  3.17  98420 0.00114
   0.0 187.5 0.00E+00 260.29  1.97  98490 0.00104
   1.9 187.5 0.00E+00 259.12  2.02  98590 0.00103
  83.3 184.8 0.00E+00 260.92  2.58  98620 0.00118
 242.4 183.9 0.00E+00 263.38  5.84  98630 0.00126
 377.4 187.7 0.00E+00 264.68  5.68  98680 0.00120
 470.5 193.7 0.00E+00 266.13  5.08  98650 0.00125
 498.5 199.1 0.00E+00 267.39  4.68  98530 0.00129
 481.6 202.5 0.00E+00 268.73  4.56  98430 0.00130
 410.1 203.6 0.00E+00 269.57  4.38  98370 0.00127
 285.8 214.6 0.00E+00 269.89  4.38  98340 0.00124
 133.6 218.8 0.00E+00 269.71  3.82  98310 0.00124
   3.3 208.8 0.00E+00 267.92  2.79  98340 0.00123
   0.0 219.9 0.00E+00 266.02  2.15  98380 0.00122
   0.0 236.7 0.00E+00 265.92  2.29  98430 0.00126
   0.0 219.8 0.00E+00 265.43  2.16  98430 0.00126
   0.0 236.6 0.00E+00 264.08  1.67  98450 0.00123
   0.0 260.8 0.00E+00 264.75  1.65  98460 0.00130
   0.0 254.5 0.00E+00 265.30  2.72  98440 0.00128
   0.0 229.5 0.00E+00 264.24  1.44  98430 0.00124
   0.2 272.3 0.00E+00 264.73  1.10  98390 0.00132
   0.1 271.0 0.00E+00 265.50  1.52  98370 0.00132
   0.1 270.4 0.00E+00 265.62  2.13  98380 0.00132
   0.0 271.5 0.00E+00 265.40  2.63  98320 0.00130
   0.0 271.3 0.00E+00 264.71  2.83  98290 0.00127
   0.2 272.6 0.00E+00 264.49  2.17  98280 0.00120
   0.9 273.3 0.00E+00 264.58  2.09  98280 0.00109
  19.4 274.2 0.00E+00 264.89  1.47  98290 0.00110
  54.1 272.1 0.00E+00 265.29  2.68  98250 0.00114
  86.1 270.7 0.00E+00 264.81  3.11  98280 0.00165
 177.3 272.3 0.00E+00 264.93  3.74  98190 0.00179
 134.0 273.6 0.00E+00 265.46  4.31  98030 0.00179
 122.8 274.8 0.00E+00 266.16  4.21  97870 0.00167
  71.1 277.2 0.00E+00 266.94  3.83  97790 0.00151
  53.1 277.4 0.00E+00 267.54  4.78  97780 0.00129
  15.6 274.9 0.00E+00 267.36  4.45  97830 0.00126
   0.0 272.8 0.00E+00 266.33  5.12  97810 0.00157
   0.0 270.6 0.00E+00 265.20  4.26  97820 0.00190
   0.0 268.7 0.00E+00 264.72  4.91  97860 0.00193
   0.0 266.8 0.00E+00 264.27  3.60  97900 0.00195
   0.0 265.4 0.00E+00 263.94  2.82  97940 0.00191
   0.0 265.4 0.00E+00 263.95  3.26  98000 0.00191
   0.0 264.4 0.00E+00 263.69  4.50  98000 0.00186
   0.0 264.1 0.00E+00 263.62  5.39  97980 0.00182
   0.0 263.8 0.00E+00 263.57  5.98  98010 0.00181
   0.0 264.5 0.00E+00 263.74  6.24  98050 0.00184
   0.0 258.0 0.00E+00 263.90  6.14  98070 0.00183
   0.0 259.5 0.00E+00 263.88  6.30  98100 0.00181
   0.0 258.7 0.00E+00 263.79  6.59  98160 0.00180
   0.0 247.4 0.00E+00 263.75  5.66  98270 0.00175
   0.5 236.1 0.00E+00 263.47  5.32  98330 0.00168
  64.3 234.1 0.00E+00 263.30  5.20  98370 0.00155
 171.4 226.2 0.00E+00 263.48  6.07  98450 0.00152
 360.8 213.2 0.00E+00 264.06  7.08  98530 0.00147
 487.5 196.0 0.00E+00 264.27  6.23  98530 0.00145
 531.8 187.3 0.00E+00 264.89  6.46  98500 0.00146
 489.4 188.7 0.00E+00 265.30  6.47  98470 0.00147
 433.0 185.0 0.00E+00 265.30  6.12  98460 0.00139
 290.4 183.5 0.00E+00 265.17  4.75  98470 0.00140
 120.8 177.6 0.00E+00 264.38  5.78  98450 0.00143
   6.2 178.4 0.00E+00 262.97  4.95  98460 0.00131
   0.0 179.1 0.00E+00 261.28  4.18  98490 0.00120
   0.0 173.2 0.00E+00 261.63  5.13  98500 0.00121
   0.0 171.1 0.00E+00 261.34  6.76  98490 0.00118
   0.0 169.4 0.00E+00 260.45  6.55  98500 0.00111
   0.0 167.8 0.00E+00 259.77  6.61  98520 0.00104
   0.0 162.6 0.00E+00 259.48  6.30  98540 0.00100
   0.0 164.6 0.00E+00 258.73  4.56  98570 0.00096
   0.0 155.5 0.00E+00 256.95  4.86  98590 0.00085
   0.0 155.9 0.00E+00 254.95  4.44  98660 0.00075
   0.0 154.6 0.00E+00 254.01  3.43  98710 0.00069
   0.0 154.4 0.00E+00 252.46  3.32  98750 0.00062
   0.0 157.3 0.00E+00 251.69  2.69  98790 0.00060
   0.0 156.8 0.00E+00 250.57  1.92  98790 0.00054
   4.1 158.4 0.00E+00 250.33  2.09  98800 0.00054
 109.5 160.1 0.00E+00 251.23  3.18  98750 0.00057
 276.3 155.0 0.00E+00 251.67  2.75  98730 0.00057
 414.0 156.5 0.00E+00 254.56  2.14  98720 0.00067
 513.9 160.8 0.00E+00 257.77  1.46  98620 0.00081
 558.2 163.9 0.00E+00 259.57  1.87  98480 0.00087
 533.7 164.9 0.00E+00 260.91  2.43  98310 0.00094
 442.9 167.7 0.00E+00 261.69  2.22  98170 0.00104
 302.0 167.7 0.00E+00 261.94  2.75  98050 0.00112
 125.9 171.9 0.00E+00 260.50  2.72  97940 0.00103
   7.7 183.1 0.00E+00 259.28  2.70  97860 0.00094
   0.0 188.4 0.00E+00 257.96  2.60  97760 0.00089
   0.0 191.2 0.00E+00 256.00  1.59  97650 0.00083
   0.0 200.9 0.00E+00 256.29  1.28  97480 0.00088
   0.1 205.4 0.00E+00 260.78  3.24  97300 0.00117
   0.1 251.0 0.00E+00 262.94  5.23  97140 0.00141
   0.4 278.6 0.00E+00 265.57  3.31  97130 0.00185
   1.0 276.5 0.00E+00 268.36  3.50  97110 0.00258
   0.0 271.5 0.00E+00 269.46  4.90  97110 0.00277
   0.0 277.5 0.00E+00 270.25  6.14  97120 0.00277
   0.0 276.7 0.00E+00 270.11  7.24  97150 0.00254
   0.0 243.7 0.00E+00 269.46  8.32  97170 0.00248
   0.0 242.0 0.00E+00 268.10  7.90  97210 0.00211
   0.0 224.5 0.00E+00 267.32  9.30  97260 0.00205
   1.5 248.9 0.00E+00 266.65  8.57  97310 0.00206
  70.8 212.7 0.00E+00 265.67  8.97  97360 0.00187
 273.4 179.1 0.00E+00 264.58  7.32  97490 0.00162
 422.9 182.2 0.00E+00 264.54  7.82  97550 0.00157
 523.7 181.7 0.00E+00 264.78  6.74  97540 0.00155
 555.7 182.0 0.00E+00 264.95  6.90  97460 0.00154
 531.2 182.5 0.00E+00 265.05  7.57  97420 0.00151
 407.6 196.0 0.00E+00 265.37  5.85  97420 0.00158
 182.1 229.3 0.00E+00 265.44  4.79  97420 0.00165
  84.1 235.7 0.00E+00 265.41  3.78  97390 0.00170
   5.1 244.2 0.00E+00 264.89  1.97  97400 0.00175
   0.0 248.7 0.00E+00 264.21  0.75  97420 0.00172
   0.0 240.4 0.00E+00 263.91  1.38  97400 0.00171
   0.0 213.9 0.00E+00 262.92  1.57  97380 0.00165
   0.0 204.0 0.00E+00 261.84  1.25  97320 0.00153
