#Down SWR Down LWR Precipit  Air Tem  Windspe Pressure Spec Hum
#W m-2 W m-2 Kg m-2 s-1 K m s-1 Pa kg kg
  -2.7 388.2 0.00E+00 298.68  1.61  97570 0.01517
  -2.6 382.6 0.00E+00 296.57  1.39  97570 0.01530
   0.1 380.0 0.00E+00 296.32  1.94  97600 0.01528
  -1.2 380.4 0.00E+00 295.71  1.77  97660 0.01536
  -0.3 381.6 0.00E+00 294.41  0.97  97650 0.01504
  -0.3 375.3 0.00E+00 294.11  1.42  97640 0.01474
  -0.3 370.4 0.00E+00 293.72  1.13  97620 0.01441
   1.9 371.0 0.00E+00 292.94  1.39  97590 0.01416
  61.9 365.6 0.00E+00 293.46  1.35  97600 0.01441
 300.9 389.9 0.00E+00 297.44  1.69  97610 0.01534
 335.4 403.9 0.00E+00 299.99  1.33  97650 0.01600
 174.4 414.1 0.00E+00 300.14  1.73  97720 0.01649
 663.0 397.7 0.00E+00 302.25  1.56  97740 0.01657
 829.8 423.7 0.00E+00 305.08  1.49  97740 0.01638
 819.7 432.6 0.00E+00 305.49  1.83  97700 0.01575
 827.4 416.7 0.00E+00 306.07  2.32  97610 0.01498
 740.9 418.5 0.00E+00 306.97  2.06  97540 0.01533
 589.1 420.6 0.00E+00 307.78  1.30  97530 0.01583
 412.2 418.4 0.00E+00 307.63  1.29  97480 0.01630
 223.5 412.9 0.00E+00 306.44  1.35  97480 0.01672
  57.3 406.8 0.00E+00 304.88  1.12  97500 0.01588
  -2.5 400.8 0.00E+00 301.98  1.00  97550 0.01589
  -0.9 398.4 0.00E+00 299.55  1.71  97640 0.01647
  -1.7 387.1 0.00E+00 298.22  1.02  97680 0.01602
  -2.5 378.4 0.00E+00 296.39  1.09  97700 0.01580
  -0.6 371.1 0.00E+00 294.78  1.07  97700 0.01546
  -0.8 367.0 0.00E+00 294.09  0.91  97710 0.01498
  -0.5 366.0 0.00E+00 292.98  0.87  97720 0.01454
  -0.3 370.1 0.00E+00 292.48  0.68  97720 0.01425
  -0.3 377.6 0.00E+00 292.48  1.08  97730 0.01427
  -0.3 376.8 0.00E+00 291.95  1.17  97780 0.01380
   2.7 381.2 0.00E+00 291.76  0.78  97810 0.01363
  74.2 380.2 0.00E+00 292.46  0.68  97830 0.01416
 239.6 361.9 0.00E+00 295.43  1.08  97810 0.01535
 432.2 372.2 0.00E+00 298.59  1.26  97790 0.01607
 601.0 385.0 0.00E+00 301.68  1.14  97770 0.01620
 740.6 396.8 0.00E+00 303.52  1.51  97740 0.01609
 830.0 406.8 0.00E+00 304.50  1.95  97670 0.01612
 862.7 411.7 0.00E+00 305.24  2.84  97620 0.01497
 820.9 416.7 0.00E+00 305.83  3.02  97570 0.01517
 733.6 420.2 0.00E+00 306.26  3.28  97500 0.01487
 584.9 419.0 0.00E+00 306.39  3.32  97400 0.01428
 415.2 418.7 0.00E+00 306.24  3.10  97370 0.01442
 211.6 414.2 0.00E+00 305.19  3.59  97340 0.01490
  51.2 401.2 0.00E+00 302.01  2.71  97340 0.01488
  -3.2 395.3 0.00E+00 299.48  2.00  97350 0.01461
  -4.7 383.9 0.00E+00 297.44  1.21  97400 0.01404
  -3.0 379.1 0.00E+00 296.07  1.56  97460 0.01436
  -2.3 372.5 0.00E+00 295.06  1.40  97500 0.01457
  -1.0 369.7 0.00E+00 294.61  1.30  97490 0.01439
  -0.5 367.6 0.00E+00 293.95  1.82  97470 0.01434
  -0.6 367.1 0.00E+00 293.84  1.51  97410 0.01431
  -0.5 365.6 0.00E+00 293.49  1.53  97380 0.01433
  -0.3 373.7 0.00E+00 293.56  1.39  97380 0.01439
   2.5 407.7 0.00E+00 294.70  1.98  97330 0.01471
   3.1 396.2 0.00E+00 295.21  1.99  97290 0.01491
  43.5 384.8 0.00E+00 296.33  3.07  97320 0.01539
 165.7 389.2 0.00E+00 297.37  2.79  97370 0.01591
 330.9 403.1 0.00E+00 299.19  3.47  97430 0.01618
 160.4 414.4 0.00E+00 298.62  4.41  97470 0.01565
 253.8 416.8 0.00E+00 299.00  3.53  97430 0.01576
 682.2 416.1 0.00E+00 301.71  4.71  97380 0.01589
 849.6 407.2 0.00E+00 302.85  6.08  97330 0.01509
 858.1 404.1 0.00E+00 303.23  4.98  97310 0.01565
 725.7 409.7 0.00E+00 303.86  4.39  97260 0.01538
 606.9 410.8 0.00E+00 304.36  3.86  97180 0.01608
 409.3 416.3 0.00E+00 304.94  3.06  97140 0.01695
 202.2 418.3 0.00E+00 304.53  2.68  97150 0.01615
  47.1 397.9 0.00E+00 302.02  2.47  97240 0.01437
  -3.1 407.5 0.00E+00 299.33  1.43  97350 0.01439
  -3.6 386.6 0.00E+00 298.17  1.38  97440 0.01425
  -1.6 385.8 0.00E+00 296.77  1.69  97480 0.01431
  -3.6 379.9 0.00E+00 296.19  1.40  97510 0.01403
  -4.9 366.6 0.00E+00 294.81  1.26  97560 0.01386
  -3.6 354.3 3.62E-04 293.74  1.36  97540 0.01380
  -3.0 344.4 3.62E-04 292.74  1.70  97590 0.01355
  -1.6 342.0 3.62E-04 292.43  1.60  97620 0.01336
  -2.8 342.6 3.62E-04 292.08  1.58  97640 0.01318
  -2.0 346.2 3.62E-04 291.52  1.40  97670 0.01292
  -0.7 346.6 3.62E-04 290.26  1.07  97730 0.01230
  42.5 345.9 3.62E-04 290.54  1.55  97810 0.01253
 167.1 346.6 3.62E-04 293.00  2.18  97860 0.01329
 429.3 353.1 3.62E-04 296.89  2.53  97900 0.01347
 583.6 350.5 3.62E-04 298.21  3.21  97940 0.01375
 759.2 355.5 3.62E-04 299.14  3.48  97990 0.01337
 829.3 358.4 3.62E-04 300.21  3.82  98000 0.01217
 871.1 362.5 3.62E-04 301.37  4.07  97960 0.01194
 833.6 370.3 3.62E-04 302.16  4.23  97960 0.01153
 731.3 369.9 3.62E-04 302.72  4.42  97920 0.01052
 557.1 373.5 3.62E-04 302.64  4.57  97940 0.01131
 336.4 374.6 3.62E-04 301.71  4.95  97980 0.01084
 172.6 371.9 3.62E-04 299.81  5.53  98070 0.01093
  38.8 368.0 3.62E-04 297.72  4.54  98150 0.01084
  -3.0 368.1 3.62E-04 296.01  4.33  98270 0.01100
  -3.0 368.4 3.62E-04 294.63  4.47  98380 0.01102
  -3.3 358.5 3.62E-04 293.50  4.42  98450 0.01092
  -3.1 347.9 3.62E-04 292.36  4.00  98490 0.01047
  -1.4 350.6 3.62E-04 291.62  3.93  98540 0.00996
  -1.0 348.5 0.00E+00 290.78  4.21  98580 0.00989
  -1.2 349.5 0.00E+00 289.78  3.50  98610 0.00960
  -1.4 346.3 0.00E+00 288.84  2.42  98660 0.00938
  -0.1 346.8 0.00E+00 288.31  2.63  98700 0.00906
  -0.1 342.1 0.00E+00 287.97  2.85  98710 0.00887
   0.6 347.2 0.00E+00 287.78  2.94  98710 0.00882
  33.5 345.4 0.00E+00 287.63  2.87  98740 0.00889
 146.6 343.9 0.00E+00 288.35  3.08  98760 0.00908
 225.0 344.1 0.00E+00 289.35  3.18  98790 0.00920
 341.5 354.7 0.00E+00 290.90  3.30  98820 0.00948
 435.1 360.6 0.00E+00 292.18  3.81  98800 0.00949
 464.3 361.4 0.00E+00 293.14  4.06  98760 0.00958
 454.8 364.2 0.00E+00 293.69  3.99  98700 0.00964
 416.6 369.4 0.00E+00 294.42  3.90  98660 0.00938
 333.0 373.5 0.00E+00 294.63  4.00  98620 0.00928
 205.7 373.5 0.00E+00 294.50  3.60  98590 0.00945
 133.7 373.3 0.00E+00 294.26  3.46  98560 0.00948
  65.5 375.0 0.00E+00 293.67  2.69  98560 0.00976
  16.2 367.8 0.00E+00 292.61  2.03  98550 0.01003
   0.0 363.9 0.00E+00 291.58  1.74  98580 0.01019
  -0.2 366.0 0.00E+00 290.77  1.81  98610 0.01016
   0.0 367.6 0.00E+00 290.75  2.12  98620 0.00998
  -0.1 369.5 0.00E+00 290.99  2.01  98590 0.00992
   0.0 365.2 0.00E+00 290.70  1.92  98550 0.01003
   0.0 365.2 0.00E+00 290.57  2.02  98500 0.01018
   0.0 379.5 0.00E+00 290.68  2.23  98480 0.01037
  -0.3 373.7 0.00E+00 290.94  2.22  98470 0.01071
  -0.2 367.8 0.00E+00 290.74  2.49  98390 0.01097
  -1.0 375.3 0.00E+00 290.72  2.11  98350 0.01135
  -0.2 383.2 7.06E-05 289.86  1.81  98350 0.01163
  15.4 382.5 0.00E+00 289.30  1.63  98390 0.01155
  49.4 385.0 5.71E-03 289.46  2.01  98410 0.01165
  86.5 384.8 2.96E-03 289.58  2.15  98450 0.01166
 181.5 385.8 0.00E+00 290.31  2.20  98450 0.01199
 336.4 388.5 0.00E+00 291.82  2.40  98460 0.01224
 178.7 395.6 0.00E+00 292.47  1.84  98460 0.01217
 257.7 391.0 0.00E+00 293.10  2.28  98410 0.01240
 166.9 398.2 0.00E+00 293.02  2.21  98390 0.01254
 138.8 396.5 1.41E-04 292.24  2.56  98350 0.01279
 262.0 397.1 0.00E+00 292.41  2.95  98330 0.01299
 148.6 390.2 0.00E+00 292.92  3.17  98310 0.01216
  75.1 380.1 0.00E+00 292.53  2.53  98320 0.01189
  16.6 374.1 0.00E+00 291.55  2.11  98320 0.01182
  -0.6 370.7 0.00E+00 290.80  1.80  98350 0.01150
  -2.8 355.9 0.00E+00 290.13  1.75  98390 0.01064
  -4.6 335.5 0.00E+00 288.80  1.38  98410 0.00997
  -3.5 312.8 0.00E+00 287.63  1.18  98400 0.00962
  -2.5 308.9 0.00E+00 286.53  1.20  98440 0.00923
  -1.0 320.3 0.00E+00 285.59  1.11  98420 0.00896
   1.3 351.0 0.00E+00 286.02  1.13  98370 0.00923
  -0.3 342.2 0.00E+00 286.63  1.15  98350 0.00954
  -3.5 307.1 0.00E+00 285.53  1.41  98370 0.00905
  -2.2 323.6 0.00E+00 284.19  1.34  98380 0.00832
   1.2 332.4 0.00E+00 283.89  1.45  98430 0.00815
  71.6 342.4 0.00E+00 284.69  1.32  98470 0.00859
 238.7 316.5 0.00E+00 288.45  1.81  98470 0.01029
 430.7 317.9 0.00E+00 291.20  2.44  98460 0.01055
 617.4 323.5 0.00E+00 293.20  2.25  98450 0.01053
 771.6 332.0 0.00E+00 294.52  2.30  98430 0.01032
 851.2 338.6 0.00E+00 295.67  2.11  98380 0.01011
 871.1 342.2 0.00E+00 296.62  1.74  98320 0.00962
 834.7 347.7 0.00E+00 297.28  1.74  98270 0.00963
 742.0 349.5 0.00E+00 298.03  1.78  98190 0.00968
 601.5 347.9 0.00E+00 298.48  2.01  98130 0.00936
 419.0 346.0 0.00E+00 298.97  1.69  98090 0.00898
 215.4 343.7 0.00E+00 298.78  1.14  98090 0.00955
  44.0 339.7 0.00E+00 296.96  1.05  98090 0.00959
  -3.4 335.6 0.00E+00 293.95  0.55  98150 0.00943
  -0.5 329.6 0.00E+00 292.17  0.57  98210 0.00941
  -0.9 328.0 0.00E+00 289.98  0.62  98260 0.00940
   0.0 325.4 0.00E+00 288.62  0.43  98270 0.00953
  -0.4 323.4 0.00E+00 287.55  1.00  98310 0.00928
  -0.3 318.9 2.88E-04 286.67  0.72  98310 0.00900
  -0.1 319.0 2.88E-04 286.21  1.37  98280 0.00894
  -0.2 315.9 2.88E-04 285.81  0.77  98250 0.00894
  -0.1 315.5 2.88E-04 285.61  1.18  98230 0.00907
  -0.6 321.2 2.88E-04 285.14  0.94  98240 0.00885
   1.1 327.9 2.88E-04 284.43  0.47  98290 0.00846
  69.8 339.5 2.88E-04 285.19  0.41  98300 0.00889
 236.0 322.0 2.88E-04 289.12  0.79  98290 0.01088
 431.8 331.3 2.88E-04 292.32  2.39  98270 0.01191
 611.0 340.3 2.88E-04 295.03  2.62  98240 0.01236
 751.6 346.5 2.88E-04 297.03  2.56  98210 0.01219
 838.0 354.0 2.88E-04 298.29  2.25  98160 0.01176
 867.1 360.6 2.88E-04 299.49  2.57  98080 0.01179
 833.0 366.2 2.88E-04 300.49  2.12  98040 0.01131
 738.1 370.5 2.88E-04 301.41  1.96  97980 0.01150
 593.7 368.9 2.88E-04 301.92  2.03  97950 0.01153
 412.9 366.3 2.88E-04 301.96  2.28  97920 0.01163
 217.8 360.5 2.88E-04 301.27  2.42  97910 0.01163
  40.3 353.5 2.88E-04 298.99  1.63  97900 0.01221
  -4.9 347.7 2.88E-04 295.44  1.73  97950 0.01238
  -4.9 341.3 2.88E-04 293.35  1.65  97990 0.01209
  -4.9 335.0 2.88E-04 291.62  1.57  98010 0.01176
  -4.3 332.8 2.88E-04 290.91  1.30  98020 0.01158
  -3.9 332.0 2.88E-04 290.22  0.97  98020 0.01143
  -2.5 332.7 0.00E+00 288.97  1.25  98040 0.01099
  -0.1 333.3 0.00E+00 289.08  1.24  98070 0.01100
  -2.7 336.0 0.00E+00 288.34  1.15  98110 0.01081
  -1.5 337.4 0.00E+00 288.01  1.05  98090 0.01061
  -2.0 337.5 0.00E+00 287.36  0.71  98100 0.01027
   1.3 343.3 0.00E+00 287.03  1.30  98120 0.01005
  66.9 337.9 0.00E+00 287.24  1.69  98170 0.01017
 201.5 328.2 0.00E+00 290.70  2.34  98200 0.01069
 404.4 331.1 0.00E+00 294.05  2.78  98240 0.00990
 603.6 338.1 0.00E+00 296.46  3.55  98290 0.00848
 727.0 347.0 0.00E+00 297.73  3.52  98300 0.00829
 819.5 352.6 0.00E+00 298.82  3.89  98270 0.00776
 851.9 352.8 0.00E+00 299.29  3.99  98250 0.00762
 805.2 352.8 0.00E+00 299.52  3.95  98230 0.00798
 713.8 352.6 0.00E+00 299.48  3.80  98210 0.00851
 573.5 348.1 0.00E+00 299.14  3.79  98200 0.00853
 381.3 342.9 0.00E+00 298.62  3.57  98210 0.00864
 201.2 335.7 0.00E+00 297.74  2.95  98210 0.00885
  36.9 325.3 0.00E+00 295.43  1.98  98240 0.00916
  -2.9 320.1 0.00E+00 292.49  1.79  98300 0.00921
  -3.6 311.5 0.00E+00 290.40  1.83  98380 0.00909
  -2.3 306.9 0.00E+00 288.89  1.75  98420 0.00896
  -4.8 297.0 0.00E+00 285.79  1.39  98450 0.00856
  -3.0 298.6 0.00E+00 284.37  1.37  98480 0.00824
  -3.6 300.3 0.00E+00 283.98  1.00  98500 0.00807
  -2.2 307.2 0.00E+00 283.27  1.28  98500 0.00776
  -1.2 324.6 3.74E-03 282.49  1.33  98500 0.00741
  -0.1 344.8 3.03E-03 282.02  0.82  98520 0.00718
   0.0 343.5 0.00E+00 281.24  1.08  98570 0.00681
   0.7 342.0 0.00E+00 280.78  1.11  98620 0.00659
  53.4 349.2 0.00E+00 281.49  1.22  98680 0.00692
 231.1 368.6 0.00E+00 285.53  1.12  98700 0.00883
 453.2 343.1 0.00E+00 290.12  0.97  98680 0.00962
 631.8 320.3 0.00E+00 293.47  0.90  98650 0.00906
 770.3 330.8 0.00E+00 295.99  1.28  98600 0.00872
 859.0 335.9 0.00E+00 297.30  1.39  98550 0.00868
 889.5 340.7 0.00E+00 298.25  1.61  98480 0.00825
 852.0 343.8 0.00E+00 298.61  1.57  98400 0.00829
 752.6 344.4 0.00E+00 299.53  1.06  98330 0.00824
 605.4 343.1 0.00E+00 300.04  1.17  98270 0.00814
 418.6 338.6 0.00E+00 300.95  1.07  98230 0.00826
 214.9 334.6 0.00E+00 299.37  1.52  98210 0.00915
  35.7 326.3 0.00E+00 295.92  1.41  98190 0.00939
  -2.5 326.9 0.00E+00 293.38  1.21  98210 0.00865
  -1.3 324.3 0.00E+00 291.35  0.87  98250 0.00841
  -0.3 322.8 0.00E+00 289.76  0.71  98270 0.00838
   0.0 322.3 0.00E+00 289.15  1.03  98270 0.00818
   0.0 320.2 0.00E+00 288.25  1.16  98250 0.00821
  -0.1 320.6 0.00E+00 287.29  1.11  98240 0.00834
  -0.7 319.0 0.00E+00 286.39  1.09  98240 0.00824
  -0.1 316.9 0.00E+00 286.33  1.09  98250 0.00820
  -0.3 317.1 0.00E+00 286.18  1.08  98260 0.00809
  -0.5 315.5 0.00E+00 285.92  1.04  98270 0.00798
   1.2 321.3 0.00E+00 285.15  0.95  98300 0.00786
  66.9 336.9 0.00E+00 285.77  0.89  98320 0.00857
 205.3 327.6 0.00E+00 289.21  1.38  98300 0.00945
 414.4 338.8 0.00E+00 293.32  2.72  98270 0.00976
 589.5 358.1 0.00E+00 296.80  3.89  98230 0.00995
 679.5 366.4 0.00E+00 298.67  3.88  98190 0.01008
 794.7 375.4 0.00E+00 300.44  3.86  98110 0.01028
 844.2 379.7 0.00E+00 301.66  3.82  98030 0.01090
 808.6 381.8 0.00E+00 302.40  3.55  97970 0.01144
 714.7 381.9 0.00E+00 302.94  3.72  97890 0.01138
 572.4 381.8 0.00E+00 303.27  3.89  97840 0.01117
 390.0 377.5 0.00E+00 303.15  4.04  97830 0.01107
 195.7 372.6 0.00E+00 302.47  3.40  97830 0.01108
  22.9 368.1 0.00E+00 299.52  2.20  97840 0.01162
  -4.9 353.9 0.00E+00 295.69  2.03  97880 0.01139
  -4.8 349.4 0.00E+00 293.66  1.94  97950 0.01104
  -4.1 343.3 0.00E+00 292.36  2.07  97970 0.01082
  -4.7 337.5 0.00E+00 291.22  2.07  97990 0.01061
  -4.6 330.8 0.00E+00 290.27  1.51  98000 0.01029
  -4.5 326.5 0.00E+00 289.38  1.42  98010 0.01005
  -3.5 323.2 0.00E+00 288.40  1.05  98030 0.00970
  -2.4 325.0 0.00E+00 287.86  1.38  98040 0.00952
  -0.5 324.1 0.00E+00 287.39  1.62  98050 0.00938
  -2.4 321.0 0.00E+00 286.62  1.23  98070 0.00920
   0.7 317.7 0.00E+00 286.46  0.83  98100 0.00913
  58.2 317.4 0.00E+00 287.14  1.02  98140 0.00928
 227.6 323.0 0.00E+00 290.42  1.44  98150 0.01055
 423.5 333.4 0.00E+00 294.35  2.60  98140 0.01108
 603.9 343.0 0.00E+00 296.92  2.92  98140 0.01136
 742.3 358.3 0.00E+00 299.50  2.87  98120 0.01138
 823.2 367.3 0.00E+00 301.07  3.05  98080 0.01098
 856.9 372.1 0.00E+00 302.28  3.20  98030 0.01061
 819.8 374.8 0.00E+00 302.94  3.46  97990 0.01022
 730.8 375.9 0.00E+00 303.39  3.41  97950 0.01020
 582.8 371.7 0.00E+00 303.56  3.55  97910 0.00980
 399.9 364.8 0.00E+00 303.28  3.39  97910 0.00918
 196.0 358.9 0.00E+00 302.32  2.91  97910 0.00851
  28.9 349.2 0.00E+00 298.85  1.91  97910 0.00942
  -4.9 341.3 0.00E+00 295.18  1.93  97950 0.00923
  -2.1 333.8 0.00E+00 292.86  1.79  97990 0.00931
  -0.9 329.6 0.00E+00 292.12  1.80  98020 0.00919
  -0.4 324.1 0.00E+00 291.02  1.87  98050 0.00914
  -0.8 319.6 0.00E+00 290.27  1.71  98050 0.00897
  -2.6 312.6 0.00E+00 288.47  1.34  98040 0.00874
  -1.6 313.4 0.00E+00 287.60  0.84  98050 0.00856
  -0.8 310.1 0.00E+00 287.07  1.15  98060 0.00847
  -0.9 305.3 0.00E+00 286.19  0.97  98070 0.00834
  -1.1 300.3 0.00E+00 284.64  1.34  98090 0.00797
   0.4 300.5 0.00E+00 284.69  1.72  98110 0.00804
  61.5 298.0 0.00E+00 284.84  0.85  98160 0.00808
 241.7 303.7 0.00E+00 288.91  1.10  98160 0.00959
 439.6 317.5 0.00E+00 292.71  1.86  98140 0.01030
 622.1 333.6 0.00E+00 296.64  2.01  98110 0.01067
 762.7 344.2 0.00E+00 298.75  2.55  98070 0.01051
 849.7 351.6 0.00E+00 299.93  2.98  98050 0.00958
 888.7 351.2 0.00E+00 301.00  3.87  97990 0.00816
 841.4 352.0 0.00E+00 301.70  4.71  97940 0.00729
 687.7 353.2 0.00E+00 301.70  4.74  97900 0.00692
 526.5 352.3 0.00E+00 301.30  3.97  97870 0.00715
 378.0 353.2 0.00E+00 301.46  3.56  97830 0.00727
 179.6 343.3 0.00E+00 300.28  3.24  97830 0.00690
  34.7 332.3 0.00E+00 297.14  1.96  97820 0.00728
  -4.8 325.0 0.00E+00 293.39  1.79  97850 0.00786
  -1.0 318.2 0.00E+00 292.23  1.87  97910 0.00774
  -1.1 311.3 0.00E+00 290.94  1.74  97960 0.00774
  -0.9 306.8 0.00E+00 289.09  1.33  97960 0.00761
  -1.1 303.5 0.00E+00 287.39  1.10  97950 0.00748
   0.0 299.9 0.00E+00 286.82  0.94  97980 0.00727
   0.0 297.0 0.00E+00 286.43  1.35  97980 0.00721
  -0.1 294.7 0.00E+00 285.53  0.83  97980 0.00732
   0.0 296.7 0.00E+00 284.81  0.87  98000 0.00757
  -0.3 301.1 0.00E+00 283.74  0.89  98010 0.00744
   0.2 302.6 0.00E+00 283.08  0.76  98030 0.00735
  57.0 301.6 0.00E+00 282.54  0.44  98060 0.00731
 230.5 307.0 0.00E+00 287.64  0.89  98050 0.00889
 431.2 317.8 0.00E+00 291.83  2.11  98000 0.00967
 613.2 334.5 0.00E+00 295.76  2.87  97970 0.01038
 750.6 344.5 0.00E+00 297.96  4.16  97920 0.01013
 828.2 351.0 0.00E+00 298.84  4.01  97870 0.01053
 854.6 355.1 0.00E+00 299.74  4.04  97800 0.01054
 822.1 357.6 0.00E+00 300.50  4.46  97740 0.00984
 722.2 359.5 0.00E+00 301.08  4.31  97680 0.00935
 578.0 357.3 0.00E+00 301.54  4.52  97630 0.00872
 389.8 351.5 0.00E+00 301.41  4.47  97610 0.00819
 184.6 348.8 0.00E+00 300.59  4.24  97600 0.00814
  24.5 341.4 0.00E+00 298.05  2.84  97600 0.00825
  -4.7 338.1 0.00E+00 294.50  2.08  97630 0.00892
  -3.6 334.7 0.00E+00 293.16  2.23  97670 0.00925
  -2.8 329.0 0.00E+00 291.62  1.81  97700 0.00956
  -2.1 328.6 0.00E+00 290.90  1.60  97750 0.00981
  -3.0 327.8 0.00E+00 290.18  1.79  97760 0.00996
  -4.2 329.3 0.00E+00 289.56  1.84  97740 0.00992
  -1.1 341.7 0.00E+00 288.86  1.65  97760 0.01003
  -1.7 350.2 0.00E+00 289.80  1.90  97770 0.01043
  -0.7 381.9 1.41E-04 290.11  2.01  97810 0.01085
   3.2 389.1 7.76E-04 289.68  2.47  97810 0.01183
   4.2 393.0 6.35E-04 290.15  1.71  97810 0.01231
  10.8 395.6 8.47E-04 290.52  1.77  97840 0.01260
  19.6 397.0 2.12E-04 290.76  2.14  97850 0.01279
  11.9 397.5 9.88E-04 290.93  2.54  97890 0.01293
  33.5 399.3 6.35E-04 291.16  2.40  97960 0.01310
  50.0 400.8 1.27E-03 291.41  3.73  97880 0.01332
 142.5 401.9 0.00E+00 291.52  4.88  97740 0.01343
 285.5 394.9 0.00E+00 292.84  4.10  97730 0.01415
 277.5 389.0 0.00E+00 293.56  4.56  97670 0.01389
 612.1 375.9 0.00E+00 295.80  5.12  97570 0.01400
 367.6 385.5 0.00E+00 297.32  5.65  97530 0.01367
 312.1 389.3 0.00E+00 298.59  6.18  97490 0.01469
  62.9 406.1 0.00E+00 297.75  4.49  97510 0.01507
  15.2 399.4 0.00E+00 297.07  3.32  97480 0.01519
  -0.5 402.1 0.00E+00 296.32  3.14  97510 0.01506
  -2.0 394.6 0.00E+00 296.49  4.67  97520 0.01454
  -3.7 382.0 0.00E+00 296.12  4.73  97520 0.01423
  -4.5 369.8 0.00E+00 295.56  4.53  97530 0.01381
  -4.7 369.0 0.00E+00 295.41  4.99  97500 0.01338
  -4.7 368.1 0.00E+00 294.87  4.51  97560 0.01335
  -4.8 364.1 0.00E+00 294.30  4.76  97530 0.01310
  -4.4 369.1 0.00E+00 293.95  4.81  97480 0.01294
  -4.4 372.7 0.00E+00 293.78  4.89  97430 0.01283
  -4.8 360.3 0.00E+00 293.10  4.83  97360 0.01268
  -0.9 377.7 3.53E-04 293.24  5.29  97350 0.01270
  10.1 396.6 2.12E-04 291.64  4.74  97400 0.01333
   7.0 397.8 6.35E-04 291.68  5.03  97480 0.01361
  62.4 403.1 1.41E-04 291.90  4.04  97460 0.01380
 184.1 402.3 0.00E+00 293.08  5.01  97400 0.01455
 148.0 395.5 0.00E+00 294.34  5.25  97370 0.01465
 198.0 402.0 0.00E+00 295.95  5.45  97370 0.01464
 242.3 407.0 0.00E+00 296.70  4.98  97330 0.01514
 245.2 413.0 0.00E+00 298.17  4.98  97270 0.01547
 235.9 418.9 0.00E+00 299.59  5.17  97200 0.01548
 261.4 423.7 0.00E+00 300.92  6.18  97170 0.01574
  70.2 424.5 0.00E+00 300.64  5.82  97160 0.01551
   7.4 418.2 0.00E+00 298.73  3.95  97100 0.01573
   5.5 416.0 7.06E-05 298.15  4.07  97120 0.01544
  -1.3 415.5 0.00E+00 298.51  4.78  97220 0.01489
  -2.2 416.8 1.06E-03 296.89  4.49  97370 0.01523
   0.0 398.4 7.76E-04 292.06  5.20  97480 0.01393
   0.9 401.4 2.05E-03 291.81  3.42  97510 0.01371
   0.1 404.2 4.94E-04 292.35  3.05  97440 0.01419
   0.0 401.7 4.94E-04 291.96  2.53  97460 0.01385
   0.1 402.3 1.34E-03 291.78  1.84  97520 0.01369
   0.1 403.3 3.53E-04 291.91  2.61  97530 0.01380
   0.0 402.4 2.82E-04 291.73  2.03  97530 0.01364
   0.0 401.7 2.82E-04 291.58  1.77  97550 0.01351
   0.1 400.3 2.12E-04 291.29  2.20  97570 0.01327
   6.4 394.7 0.00E+00 290.23  2.29  97540 0.01241
  34.5 396.2 0.00E+00 290.46  2.72  97520 0.01260
  45.7 392.5 4.23E-04 289.78  3.12  97530 0.01206
  58.1 384.1 3.53E-04 288.21  3.31  97590 0.01090
  98.1 383.5 2.82E-04 288.04  3.32  97620 0.01078
  79.0 378.0 7.06E-05 287.26  3.71  97610 0.01025
 135.5 374.7 0.00E+00 286.88  4.05  97600 0.01000
  95.9 373.5 0.00E+00 286.74  4.15  97590 0.00991
  91.9 373.5 0.00E+00 286.76  3.96  97570 0.00993
 114.4 375.9 0.00E+00 287.26  2.94  97530 0.01025
  63.2 376.5 0.00E+00 287.50  3.65  97530 0.01033
  56.6 376.2 0.00E+00 287.52  3.47  97580 0.01027
  19.9 374.6 0.00E+00 287.73  3.00  97580 0.01038
   0.1 376.3 0.00E+00 287.70  1.98  97580 0.01047
   0.2 375.6 0.00E+00 287.57  2.53  97620 0.01017
   0.1 371.1 0.00E+00 287.52  1.67  97640 0.01010
  -3.6 321.2 0.00E+00 286.66  1.09  97640 0.00979
  -1.3 327.5 0.00E+00 285.08  1.01  97640 0.00889
  -0.1 331.6 0.00E+00 284.23  1.30  97610 0.00840
   0.0 337.1 0.00E+00 283.98  1.39  97600 0.00827
  -0.1 334.9 0.00E+00 283.21  1.28  97550 0.00786
   0.0 330.9 0.00E+00 282.37  1.41  97530 0.00743
  -0.4 328.2 0.00E+00 281.93  0.98  97540 0.00721
   0.0 329.1 0.00E+00 281.31  0.60  97550 0.00691
  32.5 332.9 0.00E+00 280.96  0.43  97570 0.00675
 190.8 354.7 0.00E+00 284.18  0.79  97540 0.00838
 421.4 321.6 0.00E+00 287.77  1.11  97490 0.00974
 598.2 310.0 0.00E+00 291.43  1.62  97430 0.01014
 738.3 322.6 0.00E+00 293.91  2.31  97390 0.00960
 822.8 331.9 0.00E+00 295.73  2.34  97360 0.00983
 846.8 339.1 0.00E+00 297.26  2.21  97290 0.00979
 809.4 341.0 0.00E+00 298.29  2.41  97200 0.00903
 708.1 343.3 0.00E+00 298.82  2.70  97130 0.00844
 560.1 342.9 0.00E+00 298.97  2.92  97080 0.00810
 374.4 337.8 0.00E+00 298.85  3.22  97030 0.00798
 172.8 334.4 0.00E+00 297.75  3.08  97000 0.00857
  17.8 327.1 0.00E+00 294.04  1.85  97030 0.00988
  -4.9 321.9 0.00E+00 291.21  2.06  97100 0.01008
