         714726006 function calls (713117625 primitive calls) in 3883.978 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.004    0.004    0.394    0.394 add_newdocs.py:10(<module>)
        1    0.001    0.001    0.390    0.390 mathtext.py:2152(__init__)
       14    0.128    0.009    0.373    0.027 pyparsing.py:3223(oneOf)
        1    0.052    0.052    0.366    0.366 groupby.py:1(<module>)
        1    0.037    0.037    0.359    0.359 config_init.py:11(<module>)
        1    0.007    0.007    0.357    0.357 distributions.py:8(<module>)
       72    0.000    0.000    0.354    0.005 spines.py:154(register_axis)
    15112    0.146    0.000    0.352    0.000 path.py:212(_update_values)
3536/2816    0.012    0.000    0.345    0.000 spines.py:404(get_spine_transform)
  450/414    0.005    0.000    0.337    0.001 axis.py:394(_get_tick1line)
3680/2816    0.002    0.000    0.333    0.000 spines.py:148(_ensure_position_is_set)
      144    0.002    0.000    0.331    0.002 spines.py:359(set_position)
  450/414    0.005    0.000    0.328    0.001 axis.py:405(_get_tick2line)
        2    0.068    0.034    0.310    0.155 api.py:1(<module>)
        1    0.005    0.005    0.303    0.303 type_check.py:3(<module>)
  398/362    0.005    0.000    0.301    0.001 axis.py:528(_get_tick1line)
        1    0.053    0.053    0.300    0.300 frame.py:10(<module>)
  398/362    0.004    0.000    0.298    0.001 axis.py:543(_get_tick2line)
    35045    0.093    0.000    0.294    0.000 transforms.py:86(__init__)
     2858    0.080    0.000    0.290    0.000 lines.py:606(recache)
        5    0.172    0.034    0.289    0.058 api.py:3(<module>)
     2562    0.007    0.000    0.287    0.000 lines.py:1056(set_marker)
        1    0.009    0.009    0.285    0.285 colorbar.py:20(<module>)
        1    0.054    0.054    0.283    0.283 format.py:2(<module>)
    27023    0.050    0.000    0.279    0.000 transforms.py:1640(__init__)
      104    0.001    0.000    0.270    0.003 subprocess.py:475(_eintr_retry_call)
       52    0.267    0.005    0.267    0.005 {posix.read}
     2562    0.007    0.000    0.261    0.000 lines.py:484(set_fillstyle)
        1    0.000    0.000    0.260    0.260 pkg_resources.py:698(subscribe)
      228    0.000    0.000    0.259    0.001 pkg_resources.py:2835(<lambda>)
      228    0.001    0.000    0.259    0.001 pkg_resources.py:2256(activate)
    11862    0.038    0.000    0.250    0.000 transforms.py:1786(__init__)
      228    0.004    0.000    0.249    0.001 pkg_resources.py:2347(insert_on)
      450    0.007    0.000    0.244    0.001 axis.py:420(_get_gridline)
      736    0.237    0.000    0.238    0.000 {method 'draw_text_image' of 'matplotlib.backends._backend_agg.RendererAgg' objects}
      228    0.001    0.000    0.235    0.001 pkg_resources.py:2399(check_version_conflict)
     5454    0.119    0.000    0.232    0.000 astronomy.py:100(sun_ra_dec)
     1243    0.231    0.000    0.231    0.000 {posix.stat}
      308    0.003    0.000    0.226    0.001 axis.py:1251(_copy_tick_props)
     2727    0.077    0.000    0.216    0.000 astronomy.py:125(get_alt_az)
      398    0.006    0.000    0.215    0.001 axis.py:557(_get_gridline)
        1    0.018    0.018    0.210    0.210 _distn_infrastructure.py:5(<module>)
        1    0.005    0.005    0.208    0.208 distributions.py:1(<module>)
       52    0.204    0.004    0.204    0.004 {posix.fork}
      924    0.008    0.000    0.203    0.000 lines.py:1212(update_from)
       36    0.001    0.000    0.203    0.006 axis.py:623(__init__)
     2204    0.203    0.000    0.203    0.000 {method 'set_text' of 'matplotlib.ft2font.FT2Font' objects}
     2727    0.012    0.000    0.201    0.000 astronomy.py:152(sun_zenith_angle)
    35049    0.144    0.000    0.200    0.000 weakref.py:47(__init__)
      761    0.003    0.000    0.197    0.000 pkg_resources.py:2251(_get_metadata)
        1    0.005    0.005    0.195    0.195 collections.py:10(<module>)
     2727    0.042    0.000    0.189    0.000 astronomy.py:140(cos_zen)
      342    0.005    0.000    0.187    0.001 artist.py:657(set_clip_path)
     6006    0.031    0.000    0.186    0.000 transforms.py:1950(scale)
      630    0.003    0.000    0.184    0.000 patches.py:192(get_transform)
       36    0.000    0.000    0.183    0.005 axis.py:848(set_clip_path)
        1    0.017    0.017    0.183    0.183 __init__.py:228(<module>)
        1    0.021    0.021    0.182    0.182 tools.py:3(<module>)
4122/1890    0.005    0.000    0.178    0.000 _base.py:632(get_xaxis_transform)
        2    0.029    0.015    0.178    0.089 index.py:2(<module>)
101834/91614    0.112    0.000    0.176    0.000 artist.py:256(stale)
3654/1630    0.005    0.000    0.174    0.000 _base.py:709(get_yaxis_transform)
        1    0.029    0.029    0.173    0.173 backend_bases.py:33(<module>)
     2717    0.007    0.000    0.173    0.000 re.py:226(_compile)
      916    0.005    0.000    0.173    0.000 backend_agg.py:143(draw_path)
      144    0.001    0.000    0.169    0.001 axis.py:177(set_clip_path)
      110    0.002    0.000    0.167    0.002 pkg_resources.py:438(add_entry)
    11212    0.167    0.000    0.167    0.000 {numpy.core.multiarray.dot}
      916    0.150    0.000    0.166    0.000 {method 'draw_path' of 'matplotlib.backends._backend_agg.RendererAgg' objects}
      834    0.002    0.000    0.166    0.000 re.py:188(compile)
     7724    0.092    0.000    0.165    0.000 transforms.py:162(set_children)
      157    0.001    0.000    0.162    0.001 sre_compile.py:495(compile)
     8308    0.015    0.000    0.158    0.000 transforms.py:127(invalidate)
     2848    0.004    0.000    0.153    0.000 transforms.py:1151(__add__)
     2476    0.024    0.000    0.152    0.000 font_manager.py:656(__init__)
    35121    0.048    0.000    0.152    0.000 numeric.py:406(asarray)
      674    0.007    0.000    0.151    0.000 pkg_resources.py:1733(find_on_path)
        1    0.013    0.013    0.147    0.147 __init__.py:7(<module>)
     2848    0.007    0.000    0.147    0.000 transforms.py:2449(composite_transform_factory)
     1674    0.146    0.000    0.146    0.000 {numpy.core.multiarray.arange}
     2920    0.013    0.000    0.144    0.000 transforms.py:2268(__init__)
   105184    0.143    0.000    0.143    0.000 __init__.py:888(__getitem__)
16228/8308    0.083    0.000    0.143    0.000 transforms.py:138(_invalidate_internal)
       54    0.000    0.000    0.140    0.003 dates.py:1004(__call__)
        4    0.087    0.022    0.140    0.035 __init__.py:3(<module>)
        1    0.000    0.000    0.134    0.134 pkg_resources.py:424(__init__)
      613    0.003    0.000    0.132    0.000 genericpath.py:15(exists)
      216    0.006    0.000    0.132    0.001 patches.py:479(draw)
      592    0.001    0.000    0.132    0.000 pkg_resources.py:1198(has_metadata)
        1    0.010    0.010    0.130    0.130 _minimize.py:8(<module>)
   183123    0.079    0.000    0.129    0.000 pyparsing.py:3241(<lambda>)
      592    0.001    0.000    0.127    0.000 pkg_resources.py:1307(_has)
        1    0.014    0.014    0.125    0.125 __init__.py:623(<module>)
     1616    0.008    0.000    0.124    0.000 transforms.py:1389(transform_point)
     2028    0.013    0.000    0.123    0.000 transforms.py:2680(_revalidate)
        1    0.007    0.007    0.122    0.122 _continuous_distns.py:5(<module>)
        1    0.010    0.010    0.118    0.118 figure.py:12(<module>)
        1    0.014    0.014    0.116    0.116 kde.py:13(<module>)
       52    0.003    0.000    0.116    0.002 {netCDF4.date2index}
       89    0.005    0.000    0.114    0.001 _distn_infrastructure.py:1409(__init__)
        1    0.008    0.008    0.114    0.114 lbfgsb.py:9(<module>)
       52    0.001    0.000    0.112    0.002 netcdftime.py:1083(date2index)
     1724    0.008    0.000    0.111    0.000 transforms.py:1293(transform)
      866    0.002    0.000    0.111    0.000 lines.py:919(get_path)
       54    0.000    0.000    0.108    0.002 dates.py:806(__call__)
        1    0.060    0.060    0.106    0.106 generic.py:2(<module>)
      450    0.005    0.000    0.105    0.000 axis.py:361(_get_text1)
       52    0.011    0.000    0.105    0.002 netcdftime.py:1116(time2index)
       54    0.002    0.000    0.104    0.002 dates.py:815(tick_values)
      450    0.005    0.000    0.102    0.000 axis.py:378(_get_text2)
        2    0.009    0.005    0.102    0.051 decorators.py:1(<module>)
      416    0.032    0.000    0.099    0.000 netCDF4_utils.py:58(_StartCountStride)
        1    0.004    0.004    0.099    0.099 _subplots.py:1(<module>)
      414    0.001    0.000    0.098    0.000 patches.py:671(get_patch_transform)
      414    0.007    0.000    0.098    0.000 patches.py:655(_update_patch_transform)
     5847    0.037    0.000    0.097    0.000 numeric.py:2185(identity)
      604    0.002    0.000    0.095    0.000 genericpath.py:38(isdir)
      227    0.000    0.000    0.095    0.000 {built-in method fromkeys}
     1822    0.018    0.000    0.095    0.000 text.py:188(__init__)
      700    0.001    0.000    0.095    0.000 lines.py:1169(_draw_lines)
    61662    0.095    0.000    0.095    0.000 {range}
      700    0.002    0.000    0.094    0.000 lines.py:1193(_draw_solid)
      102    0.002    0.000    0.093    0.001 _distn_infrastructure.py:703(_construct_doc)
     5454    0.075    0.000    0.092    0.000 astronomy.py:83(sun_ecliptic_longitude)
      260    0.034    0.000    0.091    0.000 doccer.py:12(docformat)
       11    0.000    0.000    0.091    0.008 six.py:89(__get__)
       10    0.000    0.000    0.091    0.009 six.py:157(_resolve)
       11    0.000    0.000    0.091    0.008 six.py:78(_import_module)
      398    0.004    0.000    0.090    0.000 axis.py:513(_get_text2)
        1    0.004    0.004    0.090    0.090 basic.py:5(<module>)
      398    0.004    0.000    0.090    0.000 axis.py:498(_get_text1)
        1    0.018    0.018    0.088    0.088 _axes.py:1(<module>)
       18    0.000    0.000    0.088    0.005 __init__.py:1733(inner)
       18    0.000    0.000    0.088    0.005 _axes.py:1278(plot)
        1    0.041    0.041    0.087    0.087 series.py:3(<module>)
       36    0.000    0.000    0.087    0.002 pyparsing.py:1812(__init__)
        1    0.003    0.003    0.086    0.086 orthogonal.py:90(<module>)
     1328    0.002    0.000    0.086    0.000 transforms.py:2694(get_transformed_points_and_affine)
     1724    0.006    0.000    0.085    0.000 transforms.py:2346(transform_affine)
       52    0.031    0.001    0.084    0.002 netcdftime.py:1030(_check_index)
        1    0.021    0.021    0.084    0.084 urllib2.py:76(<module>)
        1    0.029    0.029    0.084    0.084 __init__.py:168(<module>)
        1    0.029    0.029    0.081    0.081 utils.py:4(<module>)
      157    0.001    0.000    0.081    0.001 sre_parse.py:663(parse)
        2    0.028    0.014    0.080    0.040 numeric.py:1(<module>)
     4218    0.040    0.000    0.080    0.000 path.py:172(_fast_from_codes_and_verts)
     3356    0.011    0.000    0.080    0.000 transforms.py:1713(frozen)
      157    0.001    0.000    0.079    0.001 sre_compile.py:480(_code)
  438/157    0.004    0.000    0.079    0.001 sre_parse.py:301(_parse_sub)
    64/60    0.000    0.000    0.079    0.001 pyparsing.py:1084(parseString)
     1260    0.008    0.000    0.078    0.000 markers.py:704(_set_tickdown)
     1260    0.008    0.000    0.078    0.000 markers.py:698(_set_tickup)
2552/1832    0.016    0.000    0.078    0.000 transforms.py:2370(get_affine)
        1    0.003    0.003    0.077    0.077 kernel_density.py:29(<module>)
  2728/60    0.014    0.000    0.077    0.001 pyparsing.py:957(_parseNoCache)
        1    0.005    0.005    0.076    0.076 core.py:2(<module>)
   702/60    0.003    0.000    0.076    0.001 pyparsing.py:2358(parseImpl)
     5412    0.054    0.000    0.076    0.000 artist.py:86(__init__)
 1250/861    0.030    0.000    0.074    0.000 sre_parse.py:379(_parse)
     2208    0.012    0.000    0.074    0.000 transforms.py:1426(transform_path_non_affine)
        1    0.008    0.008    0.074    0.074 _kernel_base.py:4(<module>)
  2568/46    0.012    0.000    0.072    0.002 pyparsing.py:1037(_parseCache)
    24200    0.050    0.000    0.072    0.000 cbook.py:696(is_string_like)
    11185    0.026    0.000    0.071    0.000 weakref.py:79(__setitem__)
       54    0.001    0.000    0.070    0.001 rrule.py:286(between)
     1350    0.052    0.000    0.068    0.000 rrule.py:754(_iter)
      581    0.006    0.000    0.068    0.000 {map}
     2516    0.019    0.000    0.067    0.000 transforms.py:780(__init__)
